Date;Gravel, Sand, Clays & Kaolin;Cement;Pre-cast concrete products;Precast concrete: blocks, bricks, tiles and flagstones;Ready-mixed concrete;Fabricated structural steel;Metal Doors & Windows;Pipes and fittings (rigid) ;Pipes and fittings (flexible);Plastic Doors & Windows;Paint (aqueous);Paint (non-aqueous) ;Screws etc;Builders woodwork;Wood Doors and Windows ;1. Consumer Price Index (CPIH);2. Input PPI;3. Output PPI;4. CPI All Work;5. Interest Rate;6. Exchange Rate (Euro);7. Exchange Rate (US dollar);8. IoP for All Industries;Production Industries (base year 2019);9. IoP for Manufacturing;Manufacturing Production (base year 2019);10. IoP for Energy Supply;Electricity, gas steam and air conditioning production (base year 2019);11. IoP for Water and Waste Management;Water supply, sewerage and waste management production (base year 2019);12. House Price Index;13. FTSE 100 Index;14. GDP;GDP (base 2019);15. Construction GDP;Construction GDP (base 2019);16. Unemployment Rate;17. Employment Rate;18. Wage Rate (AWE);19. Money Supply (M4);20. Construction PMI
Oct-19;115,0;104,6;114,7;114,8;103,5;119,6;113,6;110,5;108,3;110,2;110,5;101;109,3;115,1;113,7;108,3;114,2;109,4;113,3;0,75;1,146886;1,266829;108,13;102,6729;106,9256;101,7704;114,5094;112,1189;105,7466;100,6054;122,2;7.248,40;108,64;100,4694;100,4499911;99,2287;3,9;76,0;543;2478391;44,2
Nov-19;115,0;104,4;114,6;114,6;103,6;113,4;113,4;110,9;108,3;110,4;110,6;101;109,3;114,9;113,3;108,5;113,6;109,0;113,4;0,75;1,165276;1,287886;108,46;102,9914;106,1630;101,0446;118,1733;115,7063;106,0428;100,8872;121,7;7.346,50;108,46;100,3002;101,9030578;100,6641;3,9;76,1;542;2499339;45,3
Dec-19;115,0;104,3;114,2;114,6;103,4;110,5;114,3;111,6;108,3;110,4;110,6;101;109,3;115,8;115,8;108,5;113,9;109,0;112,8;0,75;1,177884;1,310181;109,61;104,0834;108,4408;103,2125;113,4586;111,0900;106,9922;101,7905;121,6;7.542,40;109,03;100,8246;102,5452659;101,2985;4,0;76,1;542;2501911;44,4
Jan-20;115,0;106,6;114,8;115,1;103,6;109,1;114,5;109,8;108,3;110,4;110,6;101;109,3;116,3;115,7;108,3;114,0;109,2;113,3;0,75;1,178161;1,307485;111,44;105,8234;111,2297;105,8670;109,5968;107,3089;107,9614;102,7125;121,6;7.286;109,02;100,8145;102,2227446;100,9799;4,1;76,2;546;2523064;48,4
Feb-20;114,8;107,2;115,5;115,5;103,7;109,2;114,3;110,2;108,3;110,4;110,9;101;106,4;116,4;116;108,6;113,5;109,0;113,2;0,75;1,188057;1,296937;113,25;107,5350;113,1728;107,7164;112,4412;110,0939;107,3784;102,1579;120,9;6.580,60;108,61;100,444;101,7246891;100,4879;4,1;75,9;546;2534624;52,6
Mar-20;114,8;107,8;115,5;115,6;104,3;113,2;114,3;110,5;114,5;111,6;111,7;101,2;106,5;116,3;116;108,6;112,2;108,5;113,3;0,25;1,118615;1,237096;104,61;99,3301;102,3826;97,4464;114,2475;111,8625;106,8947;101,6977;122,0;5.672;100,32;92,7769;96,60939636;95,4348;4,2;75,6;529;2618950;39,3
Apr-20;114,8;107,8;117,5;116,6;104,3;114,6;115,2;111,4;114,5;111,7;111,7;101,5;106,4;116,6;116,3;108,6;109,9;107,3;113,4;0,1;1,142834;1,242199;88,61;84,1372;81,5068;77,5771;107,3799;105,1382;100,2843;95,4087;120,8;5.901,20;80,63;74,5691;57,57784293;56,8778;4,2;75,5;529;2667482;8,2
May-20;114,8;107,8;117,7;117,0;104,3;115,9;115,6;110,7;114,4;111,9;111,2;102,8;106,6;117,2;116,3;108,6;110,4;107,2;113,5;0,1;1,125913;1,231081;95,42;90,6045;90,7462;86,3711;107,2030;104,9650;100,4682;95,5836;121,4;6.076,60;82,35;76,1555;63,4748398;62,7031;4,2;75,3;532;2721362;28,9
Jun-20;117,3;107,8;117,3;116,4;102,0;113,3;115,6;112,3;114,5;112,3;111,2;102,7;106,7;117,2;116,5;108,8;111,7;107,7;113,7;0,1;1,111667;1,251097;105,53;100,2110;102,8284;97,8707;111,4356;109,1093;106,4139;101,2403;123,1;6.169,70;90,38;83,5776;77,57426341;76,6311;4,4;75,2;532;2751875;55,3
Jul-20;117,5;107,0;117,2;116,1;101,1;111,8;115,3;113,2;114,5;112,3;111,2;102,6;106,6;117,4;116,5;109,2;112,2;108,0;114,0;0,1;1,105818;1,266913;110,44;104,8657;109,8749;104,5775;112,0241;109,6855;105,7311;100,5907;124,1;5.897,80;96,38;89,126;89,56747933;88,4785;4,7;74,9;541;2778435;58,1
Aug-20;117,5;107,4;117,4;115,7;101,9;110,9;115;113,9;114,5;112,2;111,2;102,4;106,6;117,7;116,5;108,8;112,1;107,9;113,9;0,1;1,110715;1,313673;112,89;107,1987;114,1100;108,6084;107,9858;105,7315;109,0253;103,7247;125,3;5.963,60;99,29;91,8198;92,06433662;90,945;5,0;74,5;552;2763726;54,6
Sep-20;117,5;107,8;117,4;115,6;101,0;111,7;115,2;112,3;114,5;112,4;111,2;102,3;106,6;117,7;116,5;109,2;112,3;107,8;114,2;0,1;1,098591;1,295021;113,20;107,4935;115,9156;110,3270;105,1440;102,9490;107,0695;101,8640;126,7;5.866,10;100,59;93,026;94,88280411;93,7292;5,2;74,4;558;2783371;56,8
Oct-20;119,1;106,9;117,4;115,6;101,2;113,9;115,9;112,4;114,9;112,7;111,2;103;106,4;118;116,2;109,2;112,8;107,9;114,3;0,1;1,10308;1,298405;113,04;107,3427;115,9191;110,3303;102,4458;100,3071;109,1445;103,8381;127,8;5.577,30;101,18;93,5677;95,56540329;94,4035;5,2;74,5;563;2774025;53,1
Nov-20;134,5;107,1;117,4;115,5;100,7;116,7;116,3;113,4;114,9;115,5;111,2;102,9;106,4;118,3;116;109,1;113,3;108,3;114,9;0,1;1,115482;1,320811;113,28;107,5676;117,1663;111,5174;99,9901;97,9027;109,0402;103,7389;129,1;6.266,20;99,12;91,6681;95,90675349;94,7407;5,3;74,2;568;2794030;54,7
Dec-20;134,5;107;116,9;115,2;100,1;120,1;116,3;111,2;115,2;115,7;111,2;103,8;106,4;118,5;116;109,4;114,8;108,7;115,2;0,1;1,102857;1,342835;111,47;105,8498;114,1696;108,6651;97,5092;95,4736;112,1328;106,6811;130,1;6.460,50;100,45;92,8976;94,13642954;92,9919;5,3;74,1;570;2812103;54,6
Jan-21;137,1;108,9;117,7;116,2;101,2;125,7;117,9;111,4;115,2;115,9;112,7;105,1;91,4;120,6;116,4;109,3;116,1;109,5;115,6;0,1;1,121458;1,364039;107,87;102,4304;110,7182;105,3801;92,4654;90,5351;110,4925;105,1206;130,1;6.407,50;97,66;90,3167;92,28825911;91,1662;5,2;74,3;570;2833826;49,2
Feb-21;138,2;108,9;117,9;116,6;100,4;132,7;118,1;109,8;115;116,4;114;105,7;91,4;121,4;116,8;109,4;117,1;110,2;115,8;0,1;1,146988;1,387217;106,87;101,4755;110,8217;105,4787;87,4801;85,6539;111,3457;105,9323;130,4;6.483,40;98,70;91,2726;94,74543393;93,5935;5,1;74,2;567;2855971;53,3
Mar-21;122,8;109,6;117,7;116,3;100,5;146,2;118,5;112,2;115,2;117,6;114,1;106,9;91,4;122,7;117;109,7;119,2;110,6;115,9;0,1;1,164644;1,385948;106,34;100,9774;110,8007;105,4587;82,0683;80,3550;111,6723;106,2430;132,4;6.713,60;100,93;93,3356;97,26901615;96,0864;5,0;74,3;552;2875120;61,7
